slonecznie	cieplo	wilgotne	brak	Nie
slonecznie	cieplo	wilgotne	wiatr	Nie
slonecznie	cieplo	suche	brak	Tak
slonecznie	cieplo	suche	wiatr	Tak
slonecznie	srednio	wilgotne	brak	Nie
slonecznie	srednio	wilgotne	wiatr	Nie
slonecznie	srednio	suche	brak	Tak
slonecznie	srednio	suche	wiatr	Tak
slonecznie	mroznie	wilgotne	brak	Nie
slonecznie	mroznie	wilgotne	wiatr	Nie
slonecznie	mroznie	suche	brak	Tak
slonecznie	mroznie	suche	wiatr	Nie
pochmurnie	cieplo	wilgotne	brak	Tak
pochmurnie	cieplo	wilgotne	wiatr	Tak
pochmurnie	cieplo	suche	brak	Tak
pochmurnie	cieplo	suche	wiatr	Tak
pochmurnie	srednio	wilgotne	brak	Tak
pochmurnie	srednio	wilgotne	wiatr	Tak
pochmurnie	srednio	suche	brak	Tak
pochmurnie	srednio	suche	wiatr	Tak
pochmurnie	mroznie	wilgotne	brak	Nie
pochmurnie	mroznie	wilgotne	wiatr	Nie
pochmurnie	mroznie	suche	brak	Tak
pochmurnie	mroznie	suche	wiatr	Nie
deszczowo	cieplo	wilgotne	brak	Tak
deszczowo	cieplo	wilgotne	wiatr	Nie
deszczowo	cieplo	suche	brak	Tak
deszczowo	cieplo	suche	wiatr	Nie
deszczowo	srednio	wilgotne	brak	Tak
deszczowo	srednio	wilgotne	wiatr	Nie
deszczowo	srednio	suche	brak	Tak
deszczowo	srednio	suche	wiatr	Nie
deszczowo	mroznie	wilgotne	brak	Nie
deszczowo	mroznie	wilgotne	wiatr	Nie
deszczowo	mroznie	suche	brak	Tak
deszczowo	mroznie	suche	wiatr	Nie
